# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	7177
#@/user_id	c5dd1731-b25f-4cc2-84c6-bf1978ff09b8
a 	啊	c=3 d=0.0209629 t=7177
ci hui 	詞彙	c=0 d=3.22474e-11 t=7177
ci hui ku 	詞彙庫	c=1 d=3.2409e-10 t=7177
ci pan 	磁盤	c=1 d=0.00719046 t=7177
ci shu 	次數	c=2 d=1.37563e-09 t=7177
ci yuan 	詞源	c=2 d=6.21316e-12 t=7177
cong 	從	c=16 d=0.000798982 t=7177
cu 	粗	c=1 d=7.39283e-06 t=7177
cui 	催	c=1 d=0.0558548 t=7177
cun qian 	存錢	c=1 d=0.331211 t=7177
cun zai 	存在	c=5 d=2.63871e-10 t=7177
cuo 	錯	c=1 d=0.000169951 t=7177
cuo wu 	錯誤	c=6 d=0.000539429 t=7177
da 	大	c=18 d=0.312713 t=7177
da 	打	c=2 d=0.0605927 t=7177
da an 	大案	c=7 d=0.0310703 t=7177
da an 	答案	c=5 d=2.37719e-08 t=7177
da bao 	打包	c=1 d=0.00577048 t=7177
da bu fen 	大部分	c=1 d=9.8374e-14 t=7177
da dao 	達到	c=2 d=2.07303e-10 t=7177
da duo shu 	大多數	c=3 d=1.14389e-10 t=7177
da ji yuan 	大紀元	c=14 d=0.201936 t=7177
da jia 	大家	c=2 d=1.24427e-07 t=7177
da jian 	搭建	c=1 d=3.46692e-09 t=7177
da kai 	打開	c=2 d=5.34265e-08 t=7177
da lu 	大陸	c=5 d=0.000300829 t=7177
da ming 	大明	c=13 d=0.581142 t=7177
da mo 	達摩	c=1 d=1.0083e-09 t=7177
da pao 	大炮	c=1 d=2.49933e-12 t=7177
da po 	打破	c=1 d=4.13923e-06 t=7177
da quan 	大權	c=1 d=9.80532e-05 t=7177
da shu 	大叔	c=1 d=4.4724e-05 t=7177
da suan 	打算	c=1 d=5.23664e-08 t=7177
da xiong di 	大兄弟	c=1 d=0.0202419 t=7177
da yin 	打印	c=2 d=7.07007e-10 t=7177
da yin ji 	打印機	c=1 d=1.87468e-11 t=7177
da yu 	大於	c=1 d=1.70919e-12 t=7177
da yu 	大雨	c=1 d=0.0131019 t=7177
da zhan 	大戰	c=2 d=3.13511e-09 t=7177
dai 	代	c=5 d=8.27333e-12 t=7177
dai 	帶	c=3 d=0.00123708 t=7177
dai 	待	c=1 d=3.77449e-09 t=7177
dai biao 	代表	c=2 d=8.83844e-11 t=7177
dai er 	戴爾	c=2 d=0.0361041 t=7177
dai lai 	帶來	c=2 d=4.82526e-10 t=7177
dai li 	代理	c=3 d=1.92068e-08 t=7177
dai ma 	代碼	c=3 d=3.05667e-09 t=7177
dai ming ci 	代名詞	c=1 d=3.65473e-12 t=7177
dai you 	帶有	c=1 d=8.23815e-15 t=7177
dan 	但	c=14 d=0.00317639 t=7177
dan 	蛋	c=1 d=1.67997e-15 t=7177
dan che 	單車	c=1 d=0.00814786 t=7177
dan ci 	單詞	c=4 d=0.00210172 t=7177
dan du 	單獨	c=1 d=1.76917e-06 t=7177
dan gang 	單槓	c=1 d=2.17695e-05 t=7177
dan ju 	單句	c=2 d=4.66227e-15 t=7177
dan shi 	但是	c=1 d=3.4951e-16 t=7177
dan wei 	單位	c=1 d=0.414783 t=7177
dan yin jie 	單音節	c=1 d=1.68375e-12 t=7177
dang 	當	c=6 d=0.45612 t=7177
dang 	黨	c=5 d=0.0952035 t=7177
dang chu 	當初	c=1 d=3.67117e-06 t=7177
dang dang 	噹噹	c=1 d=1.78234e-05 t=7177
dang ran 	當然	c=2 d=7.69359e-07 t=7177
dang wo 	當我	c=1 d=1.45222e-07 t=7177
dang zuo 	當作	c=1 d=2.1672e-11 t=7177
dao 	到	c=36 d=0.0369537 t=7177
dao 	道	c=4 d=0.024972 t=7177
dao de 	道德	c=3 d=7.70844e-13 t=7177
dao de jing 	道德經	c=2 d=1.55516e-10 t=7177
dao li 	道理	c=1 d=2.71403e-11 t=7177
dao lu 	道路	c=1 d=0.000547581 t=7177
dao zhi 	導致	c=1 d=8.27241e-05 t=7177
de 	地	c=5 d=2.07118e-06 t=7177
de 	得	c=2 d=0.00127109 t=7177
de 	的	c=408 d=5.12884 t=7177
de chu 	得出	c=1 d=4.27779e-11 t=7177
de yu 	德語	c=1 d=0.0138427 t=7177
deng 	燈	c=1 d=3.90084e-14 t=7177
deng 	等	c=1 d=2.0869e-08 t=7177
deng ru 	登入	c=1 d=3.8408e-08 t=7177
deng shan 	登山	c=1 d=2.09736e-08 t=7177
deng yu 	等於	c=1 d=1.72637e-12 t=7177
deng zhe 	等着	c=2 d=0.04256 t=7177
di 	第	c=6 d=0.0171614 t=7177
di er 	第二	c=1 d=0.826959 t=7177
di fang 	地方	c=5 d=1.00828e-06 t=7177
di guo 	帝國	c=10 d=0.0186254 t=7177
di qiu 	地球	c=1 d=1.31765e-10 t=7177
di san ci 	第三次	c=1 d=1.47442e-09 t=7177
di san fang 	第三方	c=1 d=3.1625e-16 t=7177
di tu 	地圖	c=17 d=4.97124 t=7177
di yi 	第一	c=1 d=1.77864e-10 t=7177
di yi ge 	第一個	c=1 d=5.68747e-09 t=7177
di yi ji 	第一季	c=1 d=0.045502 t=7177
di yu 	地域	c=1 d=0.0695994 t=7177
di zhi 	地址	c=1 d=1.70449e-09 t=7177
di zi 	弟子	c=2 d=0.1498 t=7177
dian 	店	c=1 d=0.116484 t=7177
dian 	電	c=1 d=0.000343955 t=7177
dian 	點	c=5 d=7.35304e-09 t=7177
dian ji 	點擊	c=1 d=7.45039e-09 t=7177
dian nao 	電腦	c=4 d=0.0187327 t=7177
dian shi ju 	電視劇	c=19 d=0.0547651 t=7177
dian xin 	電信	c=2 d=6.88153e-08 t=7177
dian ying 	電影	c=21 d=0.628698 t=7177
dian zi 	電子	c=1 d=0.00029902 t=7177
